frame,k,outRe_hex,outIm_hex
14,12,000C,FFF8
14,13,FFCC,FFF3
14,14,0004,FFEB
14,15,FFF7,FFDF
15,0,0009,0003
15,1,0001,FFFE
15,2,003B,0000
15,3,FFF7,FFE3
15,4,008B,FF94
15,5,0007,004E
15,6,0005,0010
15,7,FFCA,FFEF
15,8,0009,FFFD
15,9,FFAB,0000
15,10,005B,0000
15,11,FFB9,FFFF
15,12,FFB5,006C
15,13,0049,FFB2
15,14,0005,FFF0
15,15,FFE6,002F
16,0,0005,0009
16,1,0003,FFFE
16,2,0049,0000
16,3,0009,FFD3
16,4,0079,FFA1
16,5,FFE6,002A
16,6,FFFE,FFFB
16,7,FFDB,FFFE
16,8,0005,FFF7
16,9,FFC1,0028
16,10,003F,0000
16,11,FFC9,FFEF
16,12,FFBD,005F
16,13,0060,FFD6
16,14,FFFE,0005
16,15,FFF7,0040
17,0,FFF8,0002
17,1,0000,0000
17,2,000E,0000
17,3,000B,FFF8
17,4,000E,FFF6
17,5,FFF4,FFEC
17,6,FFF5,FFF7
17,7,000B,0008
17,8,FFF8,FFFE
17,9,000C,0014
17,10,FFFC,0000
17,11,000B,FFF8
17,12,FFFC,000A
17,13,0010,0014
17,14,FFF5,0009
17,15,000B,0008
18,0,0009,FFFF
18,1,0000,FFFF
18,2,0005,0000
18,3,FFFE,FFFC
18,4,0018,FFEC
18,5,0009,0016
18,6,0004,0007
18,7,FFF2,FFF7
18,8,0009,0001
18,9,FFEA,FFF9
18,10,0013,0000
18,11,FFEE,0004
18,12,FFF2,0014
18,13,000D,FFEA
18,14,0004,FFF9
18,15,FFFA,0009
19,0,0005,FFF9
19,1,0001,0000
19,2,0018,0000
19,3,FFFA,FFF6
19,4,0035,FFD8
19,5,0002,001A
19,6,0008,0006
19,7,FFEA,FFF9
19,8,0005,0007
19,9,FFE3,FFFE
19,10,0024,0000
19,11,FFE4,0000
19,12,FFE7,0028
19,13,0016,FFE6
19,14,0008,FFFA
19,15,FFF4,0011
20,0,FFFC,000B
20,1,0002,FFFE
