frame,k,outRe_hex,outIm_hex
17,7,8250,A8F5
17,8,0003,0000
17,9,8250,570B
17,10,CAFF,3504
17,11,131E,3C49
17,12,0003,0000
17,13,CDDC,5B55
17,14,3507,3504
17,15,9CC2,7617
18,0,0000,0000
18,1,653B,741E
18,2,D2BF,ED41
18,3,4322,B5FF
18,4,C000,4000
18,5,1760,5B7D
18,6,2D41,6D41
18,7,4043,199C
18,8,8000,0000
18,9,4043,E664
18,10,2D41,92BF
18,11,1760,A483
18,12,C000,C000
18,13,4322,4A01
18,14,D2BF,12BF
18,15,653B,8BE2
19,0,0001,0000
19,1,8C71,2643
19,2,2D42,92BF
19,3,D740,86A8
19,4,4001,C000
19,5,193C,962E
19,6,D2C0,12BF
19,7,8317,35C9
19,8,8001,0000
19,9,8317,CA37
19,10,D2C0,ED41
19,11,193C,69D2
19,12,4001,4000
19,13,D740,7958
19,14,2D42,6D41
19,15,8C71,D9BD
20,0,0001,0000
20,1,4BFC,1567
20,2,5A83,257E
20,3,F760,F56F
20,4,8001,8000
20,5,9E9A,5F77
20,6,A57F,257E
20,7,1E0E,7F6F
20,8,0001,0000
20,9,1E0E,8091
20,10,A57F,DA82
20,11,9E9A,A089
20,12,8001,8000
20,13,F760,0A91
20,14,5A83,DA82
20,15,4BFC,EA99
21,0,C000,0000
21,1,4ECA,B67B
21,2,12BF,6D41
21,3,457F,9492
21,4,8000,4000
21,5,CA07,050C
21,6,6D41,ED41
21,7,A1B0,26F5
21,8,4000,0000
21,9,A1B0,D90B
21,10,6D41,12BF
21,11,CA07,FAF4
21,12,8000,C000
21,13,457F,6B6E
21,14,12BF,92BF
21,15,4ECA,4985
22,0,FFFE,0000
22,1,2F99,22F7
22,2,657C,1A82
22,3,00FD,A0A9
22,4,FFFE,8000
22,5,4389,DC1F
22,6,1A80,9A82
22,7,8BD9,5E6D
22,8,FFFE,0000
22,9,8BD9,A193
22,10,1A80,657E
22,11,4389,23E1
22,12,FFFE,8000
22,13,00FD,5F57
22,14,657C,E57E
22,15,2F99,DD09
23,0,7FFC,0000
23,1,E9A8,AE2A
23,2,B076,CF86
23,3,083E,6D50
23,4,FFFC,8000
23,5,B5D2,AF38
23,6,4F82,CF86
23,7,5838,F012
23,8,7FFC,0000
23,9,5838,0FEE
23,10,4F82,307A
23,11,B5D2,50C8
23,12,FFFC,8000
23,13,083E,92B0
23,14,B076,307A
23,15,E9A8,51D6
24,0,BFFD,0000
24,1,CBB6,A9BB
24,2,CAF9,7504
24,3,E5C8,3447
24,4,3FFD,0000
24,5,A9B8,A4C1
24,6,3501,F504
24,7,A4BE,1A35
24,8,BFFD,0000
24,9,A4BE,E5CB
24,10,3501,0AFC
24,11,A9B8,5B3F
24,12,3FFD,0000
24,13,E5C8,CBB9
24,14,CAF9,8AFC
24,15,CBB6,5645
25,0,4005,0000
25,1,251C,D5E7
25,2,C48F,7B76
25,3,3FC4,99D9
25,4,4005,8000
