frame,k,outRe_hex,outIm_hex
14,14,FFF7,0019
14,15,000D,FFA3
15,0,012B,0000
15,1,FF59,0004
15,2,0012,0005
15,3,0000,0004
15,4,FFFE,FFFD
15,5,0001,0005
15,6,FFFF,FFFF
15,7,FFFB,0001
15,8,0005,0000
15,9,FFFB,FFFE
15,10,0000,0001
15,11,0002,FFFA
15,12,FFFE,0003
15,13,0003,FFFD
15,14,0013,FFFB
15,15,FF5B,FFFD
16,0,0108,0000
16,1,FF7F,FFB1
16,2,0009,0010
16,3,0004,0000
16,4,0000,FFFA
16,5,0002,0003
16,6,0000,FFFE
16,7,0000,0001
16,8,0004,0000
16,9,0001,FFFF
16,10,0001,0002
16,11,0002,FFFC
16,12,0000,0006
16,13,0006,0001
16,14,000A,FFF0
16,15,FF82,004F
17,0,001A,0000
17,1,0014,FFD8
17,2,FFEE,0007
17,3,0002,FFFD
17,4,0002,0002
17,5,FFFE,FFFA
17,6,0001,0003
17,7,0001,FFFE
17,8,0002,0000
17,9,0002,0002
17,10,0002,FFFD
17,11,FFFE,0005
17,12,0002,FFFE
17,13,0004,0004
17,14,FFEF,FFF9
17,15,0017,0028
18,0,0038,0000
18,1,FFD4,000D
18,2,0010,0000
18,3,FFFD,FFFD
18,4,FFFE,0004
18,5,0001,FFFE
18,6,0001,0002
18,7,FFFF,FFFF
18,8,0000,0000
18,9,0000,0001
18,10,0002,FFFE
18,11,0001,0001
18,12,FFFE,FFFC
18,13,FFFF,0004
18,14,0011,0000
18,15,FFD7,FFF3
19,0,0070,0000
19,1,FFC3,0005
19,2,0009,FFF1
19,3,FFFE,0005
19,4,FFFE,FFFC
19,5,0002,0002
19,6,0000,FFFF
19,7,0002,FFFE
19,8,0000,0000
19,9,0003,0001
19,10,0001,0001
19,11,0002,FFFD
19,12,FFFE,0004
19,13,0000,FFFC
19,14,000A,000F
19,15,FFC6,FFFC
20,0,FFFF,0000
20,1,000A,FFBE
20,2,FFF6,0014
20,3,FFFF,FFFC
20,4,FFFF,0000
20,5,0002,FFFD
20,6,0001,FFFE
20,7,0001,0000
20,8,0003,0000
20,9,0002,0000
20,10,0002,0002
20,11,0003,0002
20,12,FFFF,0000
20,13,0002,0005
20,14,FFF7,FFEC
20,15,000D,0042
21,0,FF58,0000
21,1,004D,FFFC
21,2,FFFE,FFFB
21,3,0001,0002
21,4,FFFC,FFFC
21,5,0007,FFFF
21,6,FFFE,FFFF
21,7,0004,FFFE
21,8,0000,0000
21,9,0005,0002
21,10,FFFE,0001
21,11,0007,0000
21,12,FFFC,0004
21,13,0003,FFFF
21,14,FFFE,0005
21,15,0050,0004
22,0,FEB4,0000
22,1,00A8,FFE7
22,2,FFF0,000F
22,3,FFFC,FFFA
22,4,FFFE,FFFE
22,5,0002,0001
22,6,FFFF,FFFF
22,7,FFFF,FFFF
22,8,0000,0000
22,9,0000,0001
22,10,0000,0001
22,11,0002,FFFE
22,12,FFFE,0002
22,13,FFFE,0007
22,14,FFF1,FFF1
22,15,00AB,0019
23,0,FF07,0000
23,1,0083,008C
23,2,FFEA,FFE5
23,3,FFFF,FFFE
23,4,FFFD,0006
23,5,FFF7,FFFB
23,6,0001,0007
23,7,FFF9,FFFE
23,8,FFFF,0000
23,9,FFF9,0002
23,10,0002,FFF9
23,11,FFF7,0004
23,12,FFFD,FFFA
23,13,0001,0003
23,14,FFEB,001B
23,15,0085,FF74
24,0,01D1,0000
24,1,FEF9,0095
24,2,0019,FFE2
24,3,0001,0006
24,4,FFFB,0002
24,5,FFFA,000B
24,6,FFFA,0000
24,7,FFFC,FFFE
24,8,FFF9,0000
24,9,FFFD,0001
24,10,FFFB,0000
24,11,FFFB,FFF4
24,12,FFFB,FFFE
24,13,0004,FFFB
24,14,001A,001E
24,15,FEFC,FF6C
25,0,03A3,0000
25,1,FE19,FF96
25,2,0035,0015
25,3,0001,0001
25,4,0002,0003
25,5,0005,FFFA
25,6,FFFC,0003
25,7,0002,0000
25,8,FFFD,0000
25,9,0003,0000
25,10,FFFD,FFFD
25,11,0005,0005
25,12,0002,FFFD
25,13,0003,0000
25,14,0036,FFEB
25,15,FE1C,006A
26,0,01B0,0000
26,1,FF6F,FF2A
26,2,FFED,0029
26,3,0004,FFFE
26,4,0006,FFFC
26,5,0002,FFFF
26,6,0006,FFFD
26,7,0004,FFFF
26,8,0004,0000
26,9,0005,0000
26,10,0007,0003
26,11,0002,0000
26,12,0006,0004
26,13,0006,0003
26,14,FFEE,FFD7
26,15,FF72,00D7
27,0,0053,0000
27,1,FFF8,000F
27,2,FFF4,FFEF
27,3,0003,0002
27,4,FFFC,FFFF
27,5,0003,0001
27,6,FFFD,FFFD
27,7,FFFF,0002
27,8,0001,0000
27,9,0000,FFFD
27,10,FFFE,0003
27,11,0003,FFFE
27,12,FFFC,0001
27,13,0005,FFFF
27,14,FFF5,0011
27,15,FFFB,FFF2
28,0,00CD,0000
28,1,FF7F,FFEB
28,2,0011,0003
28,3,0003,FFF7
28,4,FFFD,0004
28,5,0002,FFFD
28,6,0002,FFFD
28,7,0000,0001
28,8,0001,0000
28,9,0001,FFFF
28,10,0003,0003
28,11,0003,0003
28,12,FFFD,FFFC
28,13,0006,0009
28,14,0012,FFFD
28,15,FF82,0015
29,0,FDE0,0000
29,1,00D5,FE6F
29,2,0018,0068
29,3,FFFB,FFF6
29,4,0004,FFF2
29,5,000B,FFF5
29,6,000F,FFF8
29,7,000E,FFFB
29,8,0010,0000
29,9,000F,0005
29,10,0010,0008
29,11,000B,000A
29,12,0004,000E
29,13,FFFD,000B
29,14,0019,FF98
29,15,00D8,0191
30,0,F575,0000
30,1,0589,FF3C
30,2,FF74,0031
30,3,FFF1,FFED
30,4,0002,FFF5
30,5,000C,FFF2
30,6,000B,FFF9
30,7,000A,FFFD
30,8,000F,0000
30,9,000B,0002
30,10,000C,0007
30,11,000D,000D
30,12,0002,000B
30,13,FFF4,0014
30,14,FF75,FFCF
30,15,058C,00C5
31,0,F5A2,0000
31,1,0585,0392
31,2,FF42,FF63
31,3,FFE3,FFF6
31,4,FFF5,0019
31,5,FFE1,0007
31,6,FFEB,000F
31,7,FFE8,0003
31,8,FFE0,0000
31,9,FFE9,FFFC
31,10,FFEC,FFF1
31,11,FFE1,FFF8
31,12,FFF5,FFE7
31,13,FFE5,000B
31,14,FF43,009D
31,15,0588,FC6F
32,0,0990,0000
32,1,F9CF,04EC
32,2,0119,FECE
32,3,0002,001B
32,4,FFE6,001E
32,5,FFE0,001C
32,6,FFDA,000E
32,7,FFD8,0009
32,8,FFD4,0000
32,9,FFD9,FFF6
32,10,FFDB,FFF2
32,11,FFE0,FFE3
32,12,FFE6,FFE2
32,13,0004,FFE6
32,14,011A,0132
32,15,F9D2,FB15
33,0,1242,0000
33,1,F6A7,FBC5
33,2,00D3,0121
33,3,001E,000B
33,4,0013,FFFB
33,5,000A,FFFA
33,6,000E,FFFD
33,7,000A,FFFC
33,8,000C,0000
33,9,000B,0003
33,10,000F,0003
33,11,000A,0005
33,12,0013,0005
33,13,0020,FFF6
33,14,00D4,FEDF
33,15,F6AA,043C
34,0,023C,0000
34,1,0081,FBC2
34,2,FF66,00D5
34,3,0001,FFF5
34,4,0021,FFED
34,5,0018,FFF6
34,6,001F,FFF5
34,7,001E,FFFC
34,8,001E,0000
34,9,001F,0004
34,10,0020,000B
34,11,0019,0009
34,12,0021,0013
34,13,0004,000C
34,14,FF67,FF2B
34,15,0084,043E
35,0,FE64,0000
35,1,013F,0321
35,2,FFB9,FED4
35,3,FFFB,000B
35,4,FFFC,0012
35,5,FFFB,0000
35,6,FFF2,0008
35,7,FFF4,0002
35,8,FFF4,0000
35,9,FFF5,FFFD
35,10,FFF3,FFF8
35,11,FFFB,FFFF
35,12,FFFC,FFEE
35,13,FFFD,FFF6
35,14,FFBA,012C
35,15,0142,FCE0
36,0,07DA,0000
36,1,FB04,FF4F
36,2,00D2,0051
36,3,0013,0005
36,4,FFFA,FFFC
36,5,0001,0007
36,6,FFFB,FFFB
36,7,0001,0001
36,8,FFFE,0000
36,9,0002,FFFF
36,10,FFFC,0005
36,11,0001,FFF9
36,12,FFFA,0004
36,13,0015,FFFB
36,14,00D3,FFAF
36,15,FB07,00B1
37,0,FD51,0000
37,1,01CD,FB70
37,2,FFAD,0101
37,3,0008,FFEB
37,4,0017,FFE0
37,5,0020,FFE2
37,6,0026,FFEF
37,7,0028,FFF8
37,8,0029,0000
37,9,0029,0008
37,10,0027,0011
37,11,0020,001D
37,12,0017,0020
37,13,000A,0016
37,14,FFAE,FEFF
37,15,01D0,0490
38,0,EA2A,0000
38,1,0B08,FDF2
38,2,FF38,0076
38,3,FFE3,FFD9
38,4,0004,FFDC
38,5,001E,FFE2
38,6,0023,FFEE
38,7,0023,FFF4
38,8,0026,0000
38,9,0024,000C
38,10,0024,0012
38,11,001F,001D
38,12,0004,0024
38,13,FFE6,0028
38,14,FF39,FF8A
38,15,0B0B,020E
39,0,E471,0000
39,1,0F0E,060A
39,2,FDF1,FF54
39,3,FFA7,FFEE
39,4,FFDD,000C
39,5,FFDD,0019
39,6,FFD8,0018
39,7,FFCB,000A
39,8,FFD1,0000
39,9,FFCC,FFF6
39,10,FFD9,FFE8
39,11,FFDD,FFE6
39,12,FFDD,FFF4
39,13,FFA9,0013
39,14,FDF2,00AC
39,15,0F11,F9F6
40,0,1090,0000
40,1,F407,0DB7
40,2,02B3,FC50
40,3,0009,0055
40,4,FFD3,000B
40,5,FF8A,0090
40,6,FFAA,0008
40,7,FFA2,000F
40,8,FF9E,0000
40,9,FFA3,FFF1
40,10,FFAB,FFF8
40,11,FF8B,FF6F
40,12,FFD3,FFF5
40,13,000C,FFAC
40,14,02B4,03B0
40,15,F40A,F249
41,0,2619,0000
41,1,EC63,F583
41,2,0191,02EF
41,3,004D,001B
41,4,0022,0023
41,5,0045,FF8E
41,6,FFF0,0029
41,7,0028,FFF3
41,8,001F,0000
41,9,0029,000D
41,10,FFF1,FFD7
41,11,0045,0071
41,12,0022,FFDD
41,13,004F,FFE6
41,14,0192,FD11
41,15,EC66,0A7D
42,0,FD11,0000
42,1,04B4,F5B7
42,2,FE97,0205
42,3,0008,FFD5
42,4,002E,FFB3
42,5,003A,FFF8
42,6,0068,FFD9
42,7,0057,FFF3
42,8,0053,0000
42,9,0058,000D
42,10,0069,0027
42,11,003A,0007
42,12,002E,004D
42,13,000A,002C
42,14,FE98,FDFB
42,15,04B7,0A49
43,0,EC82,0000
43,1,0B38,06E8
43,2,FE5F,FDC6
43,3,FFE4,0003
43,4,FFF1,000D
43,5,FFF8,001E
43,6,FFE4,FFFC
43,7,FFE5,0008
43,8,FFEC,0000
43,9,FFE6,FFF8
43,10,FFE5,0004
43,11,FFF8,FFE1
43,12,FFF1,FFF3
43,13,FFE6,FFFE
43,14,FE60,023A
43,15,0B3B,F918
44,0,0AB0,0000
44,1,F82D,0583
44,2,0189,FF40
44,3,000F,0017
44,4,FFD7,002F
44,5,FFCB,000C
44,6,FFC8,0024
44,7,FFC3,0009
44,8,FFC6,0000
44,9,FFC3,FFF7
44,10,FFC9,FFDC
44,11,FFCB,FFF3
44,12,FFD7,FFD1
44,13,0011,FFEA
44,14,018A,00C0
44,15,F82F,FA7D
45,0,1287,0000
45,1,F613,FA65
45,2,0146,0146
45,3,0014,FFFF
45,4,0014,FFF5
45,5,0017,FFF0
45,6,0027,FFF4
45,7,001A,FFF7
45,8,001D,0000
45,9,001B,0009
45,10,0028,000C
45,11,0018,000F
45,12,0014,000B
45,13,0017,0002
45,14,0147,FEBA
45,15,F616,059B
46,0,F745,0000
46,1,067F,F987
46,2,FE9A,014E
46,3,0002,FFE2
46,4,0026,FFD1
46,5,0032,FFE7
46,6,003B,FFE4
46,7,0036,FFF5
46,8,003B,0000
46,9,0037,000B
46,10,003C,001C
46,11,0032,0018
46,12,0026,002F
46,13,0004,001F
46,14,FE9B,FEB2
46,15,0682,0679
47,0,E8C8,0000
47,1,0B15,02A5
47,2,FF81,FEFD
47,3,FFDB,FFE8
47,4,FFFA,FFF0
47,5,000B,FFE7
47,6,0006,FFF9
47,7,0016,FFF9
47,8,000C,0000
47,9,0017,0007
47,10,0007,0007
47,11,000B,0018
47,12,FFFA,0010
47,13,FFDD,0019
47,14,FF82,0103
47,15,0B18,FD5B
48,0,E8B2,0000
48,1,0B91,01C6
48,2,FEEF,00A0
48,3,FFC1,FFEF
48,4,FFEA,0004
48,5,FFE5,0012
48,6,FFE2,0006
48,7,FFDE,0006
48,8,FFE6,0000
48,9,FFDF,FFFA
48,10,FFE3,FFFA
48,11,FFE5,FFED
48,12,FFEA,FFFC
48,13,FFC3,0012
48,14,FEF0,FF60
48,15,0B94,FE3A
49,0,031B,0000
49,1,FD7F,0E4A
49,2,005B,FBB3
49,3,FFF1,0031
49,4,FFED,0086
49,5,FF7B,FFFC
49,6,FFD4,0039
49,7,FFA3,000E
49,8,FFAB,0000
49,9,FFA3,FFF2
49,10,FFD5,FFC7
49,11,FF7B,0003
49,12,FFED,FF7A
49,13,FFF3,FFD0
49,14,005C,044D
49,15,FD81,F1B6
50,0,254F,0000
50,1,EADD,F957
50,2,02AB,02CE
50,3,003F,000A
50,4,FFD4,FFF1
50,5,005A,004F
50,6,FFC8,FFCE
50,7,0002,0008
50,8,FFF9,0000
50,9,0003,FFF7
50,10,FFC9,0032
50,11,005B,FFB0
50,12,FFD4,000F
50,13,0042,FFF7
50,14,02AC,FD32
50,15,EAE0,06AA
51,0,077D,0000
51,1,FEE6,F6BD
51,2,FF67,0140
51,3,FFFF,0003
51,4,0066,FFD1
51,5,0021,FFA8
51,6,0046,0006
51,7,0054,FFF2
51,8,0053,0000
51,9,0054,000D
51,10,0047,FFFA
51,11,0021,0057
51,12,0066,002F
51,13,0001,FFFE
51,14,FF68,FEC0
51,15,FEE8,0944
52,0,F1B4,0000
52,1,09B1,023E
52,2,FDD3,FF29
52,3,0002,FFF5
52,4,0005,000F
52,5,FFF6,000A
52,6,000A,FFFD
52,7,FFF8,0004
52,8,FFFE,0000
52,9,FFF9,FFFC
52,10,000B,0003
52,11,FFF6,FFF5
52,12,0005,FFF1
52,13,0004,000C
52,14,FDD4,00D7
52,15,09B4,FDC2
53,0,075C,0000
53,1,F9CF,05D0
53,2,01CC,FEE8
53,3,FFE4,000B
53,4,FFDF,0025
53,5,FFE2,0020
53,6,FFCD,0008
53,7,FFD0,0009
53,8,FFD2,0000
53,9,FFD1,FFF6
53,10,FFCE,FFF8
53,11,FFE2,FFDF
53,12,FFDF,FFDB
53,13,FFE6,FFF6
53,14,01CD,0118
53,15,F9D2,FA31
54,0,0FDB,0000
54,1,F7DD,FC03
54,2,00A9,00BF
54,3,0028,0011
54,4,000F,FFF2
54,5,0018,FFF4
54,6,0008,FFFB
54,7,0018,FFFA
54,8,0013,0000
54,9,0019,0005
54,10,0009,0005
54,11,0018,000B
54,12,000F,000E
54,13,002A,FFF0
54,14,00AA,FF41
54,15,F7E0,03FE
55,0,FA48,0000
55,1,040E,F930
55,2,FF32,018E
55,3,0009,FFDB
55,4,002D,FFD1
55,5,0028,FFD6
55,6,003B,FFEA
55,7,0039,FFF4
55,8,003A,0000
55,9,003A,000C
55,10,003C,0016
55,11,0029,0029
55,12,002D,002F
55,13,000C,0026
55,14,FF33,FE72
55,15,0411,06D0
56,0,E34D,0000
56,1,0E2F,FF51
56,2,FF31,FFF4
56,3,FFCE,FFD7
56,4,000A,FFCD
56,5,001E,FFE8
56,6,0026,FFE4
56,7,0026,FFF7
56,8,0027,0000
56,9,0027,0009
56,10,0027,001C
56,11,001E,0017
56,12,000A,0033
56,13,FFD0,002A
56,14,FF32,000C
56,15,0E32,00AF
57,0,DD50,0000
57,1,129A,05A4
57,2,FDB5,FFF8
57,3,FF9B,FFE1
57,4,FFDB,001B
57,5,FFC6,0021
57,6,FFC4,0014
57,7,FFC9,0008
57,8,FFC6,0000
57,9,FFCA,FFF8
57,10,FFC5,FFEC
57,11,FFC7,FFDF
57,12,FFDB,FFE5
57,13,FF9E,001F
57,14,FDB6,0008
57,15,129D,FA5C
58,0,1252,0000
58,1,F29E,13E2
58,2,0302,F9F8
58,3,000A,005C
58,4,FF8B,007D
58,5,FFBA,0023
58,6,FF83,003C
58,7,FF8F,0022
58,8,FF84,0000
58,9,FF90,FFDE
58,10,FF84,FFC4
58,11,FFBA,FFDC
58,12,FF8B,FF83
58,13,000C,FFA5
58,14,0303,0608
58,15,F2A1,EC1E
59,0,2E6C,0000
59,1,E7B9,EF56
59,2,0209,0584
59,3,0060,000B
59,4,0034,FFC0
59,5,FFFC,0034
59,6,004C,FFBE
59,7,001C,FFFF
59,8,0028,0000
59,9,001D,0000
59,10,004D,0042
59,11,FFFC,FFCB
59,12,0034,0040
59,13,0062,FFF6
59,14,020A,FA7C
59,15,E7BC,10AB
60,0,F92C,0000
60,1,07F5,F80B
60,2,FDFB,008B
60,3,FFF3,FFE4
60,4,0045,FFE3
60,5,0075,FFB7
60,6,0044,FFE1
60,7,0054,FFF3
60,8,0062,0000
60,9,0055,000D
60,10,0045,001F
60,11,0075,0048
60,12,0045,001D
60,13,FFF5,001D
60,14,FDFC,FF75
60,15,07F8,07F5
61,0,F22E,0000
61,1,07EA,0822
61,2,FE95,FDBA
61,3,FFFC,0008
61,4,FFDE,0022
61,5,FFDA,0015
61,6,FFDA,0026
61,7,FFD5,0000
61,8,FFD6,0000
61,9,FFD6,0000
61,10,FFDB,FFDA
61,11,FFDA,FFEA
61,12,FFDE,FFDE
61,13,FFFE,FFF9
61,14,FE96,0246
61,15,07ED,F7DE
62,0,113C,0000
62,1,F457,0245
62,2,0262,0040
62,3,FFFC,0009
62,4,FFE9,0017
62,5,FFD4,0020
62,6,FFD7,0010
62,7,FFDA,0004
62,8,FFD6,0000
62,9,FFDB,FFFB
62,10,FFD8,FFF0
62,11,FFD4,FFDF
62,12,FFE9,FFE9
62,13,FFFE,FFF8
62,14,0263,FFC0
62,15,F45A,FDBC
63,0,0E0C,0000
63,1,F9A9,FA57
63,2,004E,00B3
63,3,0022,0012
63,4,0026,FFEA
63,5,002C,FFE9
63,6,001D,FFE7
63,7,0032,FFFB
63,8,0028,0000
63,9,0033,0005
63,10,001E,0019
63,11,002C,0016
63,12,0026,0016
63,13,0024,FFEF
63,14,004F,FF4D
63,15,F9AC,05A9
64,0,F460,0000
64,1,070B,F9E2
64,2,FEDD,0137
64,3,0008,FFDC
64,4,0027,FFD1
64,5,003B,FFD5
64,6,0034,FFDF
64,7,003E,FFF7
64,8,003E,0000
