frame,k,outRe_hex,outIm_hex
14,14,FFF6,001A
14,15,000B,FFA6
15,0,012B,0000
15,1,FF59,0002
15,2,0012,0004
15,3,0000,0001
15,4,FFFE,FFFD
15,5,0002,0005
15,6,0000,FFFE
15,7,FFFD,0002
15,8,0005,0000
15,9,FFFD,FFFE
15,10,0000,0002
15,11,0002,FFFB
15,12,FFFE,0003
15,13,0000,FFFF
15,14,0012,FFFC
15,15,FF59,FFFE
16,0,0108,0000
16,1,FF82,FFB0
16,2,0009,000F
16,3,0004,FFFF
16,4,0000,FFFA
16,5,0002,0003
16,6,0001,FFFD
16,7,0000,0000
16,8,0004,0000
16,9,0000,0000
16,10,0001,0003
16,11,0002,FFFD
16,12,0000,0006
16,13,0004,0001
16,14,0009,FFF1
16,15,FF82,0050
17,0,001A,0000
17,1,0016,FFD7
17,2,FFEE,0006
17,3,0002,FFFC
17,4,0002,0002
17,5,FFFE,FFFB
17,6,0002,0002
17,7,0001,FFFF
17,8,0002,0000
17,9,0002,0001
17,10,0002,FFFE
17,11,FFFE,0004
17,12,0002,FFFE
17,13,0002,0005
17,14,FFEE,FFFA
17,15,0017,0029
18,0,0038,0000
18,1,FFD5,000C
18,2,0010,0000
18,3,FFFE,FFFC
18,4,FFFE,0004
18,5,0002,FFFE
18,6,0002,0002
18,7,FFFF,FFFE
18,8,0000,0000
18,9,FFFF,0002
18,10,0002,FFFE
18,11,0002,0002
18,12,FFFE,FFFC
18,13,FFFE,0004
18,14,0010,0000
18,15,FFD5,FFF4
19,0,0070,0000
19,1,FFC4,0003
19,2,0009,FFF1
19,3,FFFF,0003
19,4,FFFE,FFFC
19,5,0002,0003
19,6,0001,FFFF
19,7,0002,FFFF
19,8,0000,0000
19,9,0002,0001
19,10,0001,0001
19,11,0003,FFFD
19,12,FFFE,0004
19,13,0000,FFFD
19,14,0009,000F
19,15,FFC4,FFFD
20,0,FFFF,0000
20,1,000B,FFBC
20,2,FFF7,0014
20,3,0000,FFFA
20,4,FFFF,0000
20,5,0004,FFFE
20,6,0001,FFFE
20,7,0001,0000
20,8,0003,0000
20,9,0001,0000
20,10,0001,0002
20,11,0004,0002
20,12,FFFF,0000
20,13,0000,0006
20,14,FFF7,FFEC
20,15,000B,0044
21,0,FF58,0000
21,1,0050,FFFB
21,2,FFFE,FFFA
21,3,0002,0000
21,4,FFFC,FFFC
21,5,0006,0000
21,6,FFFE,FFFE
21,7,0004,FFFF
21,8,0000,0000
21,9,0004,0001
21,10,FFFE,0002
21,11,0006,0000
21,12,FFFC,0004
21,13,0002,0000
21,14,FFFE,0006
21,15,0050,0005
22,0,FEB4,0000
22,1,00A9,FFE7
22,2,FFF0,000F
22,3,FFFE,FFF9
22,4,FFFE,FFFE
22,5,0002,0001
22,6,FFFF,FFFF
22,7,FFFF,FFFF
22,8,0000,0000
22,9,FFFF,0001
22,10,0000,0001
22,11,0002,FFFF
22,12,FFFE,0002
22,13,FFFE,0007
22,14,FFF1,FFF1
22,15,00A9,0019
23,0,FF07,0000
23,1,0083,008A
23,2,FFEB,FFE4
23,3,FFFF,FFFB
23,4,FFFD,0006
23,5,FFF9,FFFB
23,6,0001,0006
23,7,FFF9,FFFE
23,8,FFFF,0000
23,9,FFF9,0002
23,10,0001,FFFA
23,11,FFF9,0005
23,12,FFFD,FFFA
23,13,FFFF,0005
23,14,FFEB,001C
23,15,0083,FF76
24,0,01D1,0000
24,1,FEFB,0092
24,2,0019,FFE2
24,3,0001,0004
24,4,FFFB,0002
24,5,FFFB,000C
24,6,FFFB,0000
24,7,FFFD,FFFE
24,8,FFF9,0000
24,9,FFFD,0002
24,10,FFFB,0000
24,11,FFFB,FFF4
